question_id,question_intent,gold_chunk_id,gold_doc_id,retrieved_chunk_ids_dense,rank_of_first_relevant_dense,retrieved_in_top_k_dense,retrieval_score_dense,retrieved_chunk_ids_sparse,rank_of_first_relevant_sparse,retrieved_in_top_k_sparse,retrieval_score_sparse,retrieved_chunk_ids_hybrid,rank_of_first_relevant_hybrid,retrieved_in_top_k_hybrid,delta_de_hy_rank,retrieved_chunk_ids_reranked,rank_of_first_relevant_reranked,retrieved_in_top_k_reranked,delta_hy_re_rank
10,rationale,10,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,36|3|22|5|19|10|15|1|40|8|37|31|13|9|21|17|24|23|39|4|7|29|0|14|35|20|32|11|27|33|38|41|34|12|26|30|2|28|18|6|25|16,6,FALSE,0.7136405901238703|0.7054595320843626|0.6952074104137062|0.6828167759170078|0.6823739887454127|0.6811611180442776|0.6803897176397583|0.6761783938572977|0.6688054997054405|0.6669078214264303|0.6645230897207891|0.6643508743356504|0.6592608888826355|0.6583409770939588|0.6527698344049396|0.6478121746277608|0.6182902050188079|0.23061169646541937|0.22934115896018467|0.22827961802467958|0.22153259227569108|0.21214352799473915|0.20882099743662033|0.2045020624150997|0.1995518985953292|0.19742053967938|0.19458005153744248|0.1917643405043|0.1837022416031049|0.1765006022080559|0.139985436338436|0.13862126593156937|0.12357567035867804|0.11678729709137656|0.09406001057268462|0.09162969422856689|0.09134951737689193|0.09118978350750921|0.09054662493215301|0.08771580524288197|0.06650155491487707|0.06165818051185793,10|7|8|6|22|12|2|9|3|14|36|29|16|5|26|1|21|11|31|32|27|15|13|28|20|0|39|30|23|4|19|41|18|17|34|35|38|37,1,TRUE,11.692571681713943|11.27611040398235|9.861699965420891|8.322962232367836|6.774178617365601|6.50468844379221|6.054002500479799|6.043435413257738|5.117252464302413|4.988904343170502|3.8393132847254137|3.7860661143299925|3.751388186233882|3.743140065912447|3.732948872219246|3.68824012563344|3.519483095612839|3.1215807789089585|3.120819699474165|2.5188747122035533|2.504549347257508|2.4398130482292273|2.2534357779780034|2.243187915513639|2.2238349882090866|2.2161673033522797|2.1895325449702234|2.0242995878361696|1.8018802787380992|1.684785312447978|1.6092341775055492|1.44307833717234|1.3626391084429845|1.2946580222743842|1.0005530979129518|0.9391684593476167|0.910766111647098|0.8797272644990936,36|3|22|5|10|1|8|31|9|21|7|29|14|32|11|12|26|2|6|16|19|15|40|37|13|17|24|23|39|4,5,FALSE,1,10|8|9|22|3|36|5|1|21|15|31|7|13|19|17|37|6|12|14|29|2|39|23|11|4|27|20|0|32|26|16|35|28|41|30|38|18|34|24|25|33|40,1,TRUE,4
11,numeric / factual,11,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,5|22|15|3|36|9|10|19|31|1|13|8|21|40|37|24|17|4|39|14|12|7|27|20|11|0|32|34|41|23|35|29|38|33|26|18|28|30|2|6|25|16,25,FALSE,0.6535188351735751|0.6518080916135134|0.6495670528232745|0.6437595961919975|0.6413166219298054|0.6338206558816482|0.6314190981841116|0.629114588136794|0.6234462027218265|0.6162091982425391|0.6138736939830589|0.6098942890772117|0.609260821995032|0.6088810470588681|0.6083178435511982|0.602932796966782|0.5891226253159424|0.29693618380927767|0.24641578796373081|0.23628001740931265|0.2252342845000437|0.2215807134669446|0.21782563543194217|0.2115659378915388|0.20952814197871458|0.20443369999644084|0.19812147198015714|0.1340977127732548|0.13128203910864641|0.1253025061921596|0.11856476714441119|0.10369811512702866|0.10217379810012356|0.09726944417205945|0.08764460402415188|0.08665338496692408|0.08628738353789742|0.0848504413410694|0.08182223089394433|0.08022055951856945|0.059492237194346854|0.05632832093614847,39|11|19|14|20|31|2|30|9|1|6|3|12|36|8|7|10|28|32|5|13|33|38|37|0|29|16|40,2,TRUE,12.992116670670192|9.4633848607136|6.415038363007432|4.7755675776134545|4.610322520537746|2.8566158134124926|2.7923506185635385|2.7474761525523452|2.648067939722246|2.585684328007228|2.4308205605767172|2.232968848453098|2.205055625906345|2.200564203221602|2.1059616618524495|2.0280863026255362|1.8925583652918478|1.259956903332955|1.1851412219120825|1.0612057967154984|1.0297047961048953|1.0005042898567151|0.910766111647098|0.8797272644990936|0.7790039096068406|0.7522032350776429|0.7231765647161755|0.681830597522563,5|3|36|9|10|19|31|1|8|39|14|12|7|20|11|32|28|30|2|6|22|15|13|21|40|37|24|17|4,15,FALSE,10,19|39|9|31|3|36|1|10|8|5|37|13|11|40|14|20|12|7|32|0|30|2|6|38|33|28|29|16|4|15|17|18|21|22|23|24|25|26|27|34|35|41,13,FALSE,2
12,factual,12,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,36|3|5|22|19|10|15|9|31|37|8|1|24|40|21|17|13|27|35|7|23|32|4|0|14|12|20|11|39|38|41|34|33|29|26|18|30|2|28|6|25|16,26,FALSE,0.657825848732164|0.6561898502973936|0.6472840029984098|0.6440110198663276|0.6422005401901661|0.6380464357833567|0.636434056923258|0.6257876273413421|0.6121469467380678|0.6026745508029983|0.6023099620122112|0.6017632187589936|0.5948155846985025|0.5944701485526412|0.5932906413827426|0.5879357270971094|0.5817804478363813|0.26431836764663746|0.2474966221305695|0.24016979179246412|0.2278038876798514|0.226942352280591|0.22591366402096463|0.22476371156116065|0.2159278779049386|0.2150927360189086|0.21266013153650476|0.19961666534765632|0.19840977041404295|0.12534328488343666|0.12506349131833955|0.12449420112806735|0.11494060922992104|0.10502272937517568|0.08935042403770557|0.08468387645662279|0.08411957988371255|0.08404268091145545|0.08197005778101804|0.07902358230422298|0.056942679246969295|0.05592434872562267,12|11|30|33|2|10|1|39|8|0|22|40|31|7|21|34|29|13|32|36|6|9|5|4|27|38|35|28|20|19|14|17|25,1,TRUE,17.08802681915655|10.400945530077529|9.98532120063679|6.359349840484234|5.2997872128713155|5.121006451476333|4.724427426816431|4.1743643033191455|3.825572903069963|3.7109054618870667|3.492018704472552|3.237769172642734|3.151190529945418|3.123867306694357|3.0292116731503564|2.7757085774627086|2.606069134120582|2.4745415499013226|2.4475722197825904|2.4145670710265468|2.344403360256891|2.305571073035549|2.0173297678847484|2.004342931505724|1.8346183971730596|1.5889925650856453|1.5771608454859525|1.4010671612129166|1.2617661193764964|1.226402614288314|1.19146630374349|0.6804310285328378|0.5947175978503022,36|22|10|31|8|1|40|21|13|7|32|0|12|11|39|34|33|29|30|2|3|5|19|15|9|37|24|17|27|35,13,FALSE,13,10|12|1|31|36|5|22|8|21|9|40|19|13|17|11|30|0|7|27|39|32|35|33|2|4|14|20|29|34|6|38|28|25|3|15|16|18|23|24|26|37|41,2,TRUE,11
13,rhetorical / summary,13,AERIS â€“ STEP 1 ARCHITECTURAL DECISION CASE STUDY.pdf,5|19|3|15|22|36|9|10|40|31|1|21|8|13|37|17|24|4|23|39|14|35|0|12|27|7|20|29|11|32|38|34|41|33|26|28|18|30|2|6|25|16,14,FALSE,0.6447250150600878|0.6418615253716455|0.6406400470976146|0.6397912171746857|0.6373070429498217|0.630105930826352|0.6258623087040933|0.623513834924858|0.6189062140381837|0.6166914287396652|0.6154527756310354|0.608753747598407|0.6026403156218918|0.5969779449051044|0.5917784024343999|0.5841837742295443|0.5805590804725798|0.2881501142834305|0.23887204711246124|0.23471903600518426|0.23244031506346632|0.22374336385150775|0.21465593359889354|0.21362421578983992|0.20820159345723155|0.20756742723396915|0.20451221574134182|0.19744303251192544|0.17779386914844733|0.15269781140738292|0.14364946269023174|0.13250709466634772|0.12530264300135846|0.09842943882295792|0.08747547791338885|0.0859705492891588|0.08532414464912864|0.08451890448350242|0.083350835439677|0.07894088780019488|0.06001491878542867|0.05617045677119889,0|13|12|29|40|14|7|8|1|9|2|32|39|34|33|35|36|4|3|31|37|38|27|21|30|28|5|25|17|41|24|11|18|16|23,2,TRUE,10.875043171242254|10.240345430151137|9.31660257514121|9.16614612667098|7.626946216800114|6.578993393190853|6.358238966861337|6.152364660806822|5.725172633665236|5.126359743963865|4.49977924672315|4.370703627462886|4.011694967023719|3.372605065848069|3.2404049034798166|3.1398396498395034|2.900720902508528|2.681159841155268|2.509062888420604|2.328619889336148|2.2091521720710454|2.177656279901883|1.9825332363136026|1.902035700086896|1.6267384383214643|1.4010671612129166|1.3712604952979797|1.3089347914046168|1.2116397961291807|1.1196660969520165|0.787780317365655|0.6804310285328378|0.5509452632809687|0.36785794624627677|0.3541901497740778,3|36|9|40|31|1|8|13|4|39|14|35|0|12|7|29|32|34|33|2|5|19|15|22|10|21|37|17|24|23,8,FALSE,6,13|40|8|1|9|0|36|3|31|37|5|12|21|29|17|24|14|7|39|4|35|32|34|2|27|33|23|38|11|41|30|28|25|18|16|6|10|15|19|20|22|26,1,TRUE,7
14,definition,14,Google S2 Geometry â€” Executive & Technical Reference (Condensed).pdf,22|19|15|40|5|3|9|31|36|10|13|1|21|17|8|37|24|14|23|12|0|7|20|29|39|32|4|27|38|41|35|26|28|18|30|2|6|11|25|33|16|34,18,FALSE,0.5492893489862347|0.5382288107733635|0.5373346114324116|0.5360011318206562|0.5342409649383879|0.530294625235359|0.5228938351330912|0.5213982901338344|0.5206987827691267|0.5205641759951568|0.5101664833607088|0.5099684414723374|0.484810790333832|0.4752507080108007|0.4739212572699314|0.46679066784092743|0.4548412705729676|0.2510556076462906|0.2431345424962785|0.23906890272588865|0.23377016618045335|0.23174891894455904|0.22074070624483771|0.20461407319854155|0.2018499063452795|0.1917537037258083|0.19127035232702963|0.1627857656083736|0.15454853755448028|0.1410729248191943|0.11089228779197925|0.07358027846313557|0.071610694736504|0.06967307262595442|0.06906916398087624|0.0673038785337318|0.06446564525030611|0.06363010878669029|0.052166988833226624|0.05069075184830745|0.04510566570808978|0.036664439966952,14|5|1|2|40|28|7|21|23|12|32|33|16|8|18|20|13|9|15|26|19|6|31|36|3|0|29|27|30|4|39|11|17|34|35|38|25,1,TRUE,16.60225114312096|4.910226645898662|4.764573048602587|4.166378719954566|3.938358522771148|3.0770367506480456|2.7927180148827726|2.764879192990651|2.2691980098103794|2.183846287523333|2.1249018681430107|2.1061175637786715|2.0995080852284165|2.070934230848363|2.061348245071891|2.0444682364793247|1.9932048535562052|1.4815287492121527|1.4651794884414753|1.4566311569865849|1.3994761775043207|1.3703975809152598|1.3550371434801893|1.23628966825139|1.22574450292976|0.7790039096068406|0.7522032350776429|0.7421389975637424|0.7231765647161755|0.7203625509102908|0.6853929406905893|0.6804310285328378|0.6804310285328378|0.6379923861383356|0.6379923861383356|0.61869821010311|0.5947175978503022,15|40|5|9|13|1|21|8|14|23|12|7|20|32|26|28|18|2|33|16|22|19|3|31|36|10|17|37|24,9,FALSE,9,14|5|40|1|15|19|21|3|9|13|31|36|8|17|7|23|20|12|0|32|29|39|4|2|28|27|38|18|26|16|35|33|6|30|11|25|34|10|22|24|37|41,1,TRUE,8
15,mechanistic,15,Google S2 Geometry â€” Executive & Technical Reference (Condensed).pdf,15|22|5|3|19|36|9|10|1|13|8|40|24|31|21|37|17|4|23|35|7|12|14|20|32|0|29|39|27|38|41|34|33|28|26|18|30|2|6|11|25|16,1,TRUE,0.6101092254964713|0.6084201015381532|0.6072444992395529|0.6026726484282007|0.6021764495857598|0.5982300161566297|0.5948509688256092|0.5905440370626617|0.5755019381023911|0.5753588182538375|0.5676903453544347|0.5667274436976776|0.5664921164611144|0.5578620676414524|0.5572020921303338|0.5476919093995587|0.5273814329782072|0.24703917457845703|0.23857326705483622|0.23013001854952667|0.2299349878361019|0.2285048077247265|0.2272282532720982|0.21538365822371483|0.21101298552337475|0.19829994716908206|0.19532603556647016|0.17422060437653797|0.17154147887387147|0.15258269401205712|0.13435681105097777|0.12975551061376298|0.10945964598219053|0.08301229026598661|0.0816923767194485|0.07975864014285367|0.07860093865652464|0.07628791284151305|0.0734899260851871|0.06451326564408362|0.05464001805213079|0.05422876647301322,20|19|39|23|14|28|16|18|15|3|6|5|12|13|21|27|32|8|25|26|2|17|4|41|1|33|10|7|0|9|29|37|30|31|40|36,9,FALSE,7.796570017583782|7.679740327975948|6.093306314093119|4.863877037952473|4.81116349838236|4.776865874334677|4.774785827223265|3.9896838579570004|3.40150868442144|2.6213485800229606|2.608713633396544|2.4699729933321475|2.3940338218071036|2.2021026393842824|2.0528735418684154|1.9773122321446976|1.9696122302182812|1.926301427879956|1.8552299841797246|1.4566311569865849|1.342352114291763|1.2946580222743842|1.2383160524812842|1.1196660969520165|1.087600071633532|1.0005042898567151|0.8817197841551299|0.8279562249975134|0.7790039096068406|0.7653690266252517|0.7522032350776429|0.7271823255600189|0.7231765647161755|0.7000225004732477|0.681830597522563|0.6386766510738326,15|5|3|19|13|8|21|23|12|14|20|32|39|27|28|26|18|6|25|16|22|36|9|10|1|40|24|31|37|17|4|35,1,TRUE,0,19|15|3|5|20|13|21|8|10|9|1|36|17|40|31|37|39|23|14|28|16|12|18|32|4|27|7|0|29|6|41|26|25|33|2|30|11|22|24|34|35|38,2,TRUE,-1
16,mechanistic,16,Google S2 Geometry â€” Executive & Technical Reference (Condensed).pdf,5|3|15|19|22|9|10|36|40|24|8|1|31|13|21|17|37|4|23|14|12|29|20|32|7|0|39|38|27|41|34|35|33|28|26|18|30|2|6|11|25|16,42,FALSE,0.6002022811055908|0.5973319105685442|0.5929156100118332|0.5857747317913556|0.585542027162875|0.5744905838505077|0.5735287456560668|0.5723100425610452|0.5678973720069859|0.5625949490456625|0.5597314384961583|0.5579975944117936|0.5562907072702764|0.5553818195762703|0.5302615024911309|0.5150552244551831|0.5034202295245029|0.24624933847355263|0.23675447595587074|0.22086107842253744|0.22000976370527586|0.2161837815757868|0.21576055167150074|0.21395372438526147|0.2050395495576096|0.1973617862417349|0.18530187103188428|0.16023366796170194|0.14310671947456366|0.13048310038889682|0.12973183837787136|0.1154626858698836|0.10759363646715954|0.08001199145538647|0.07979611619961549|0.07725195909516264|0.07513103832605074|0.073599665847699|0.07247373940278294|0.06558840532057042|0.056285624829507275|0.05198270809241694,28|20|16|26|14|23|9|17|15|18|19|21|39|27|1|5|41|0|2|12|22|11|30|31,3,TRUE,7.896521746975866|7.683651763192318|7.274997576254478|6.740740990221443|5.961142561105233|5.820753086016926|5.646824584790169|5.042846545027115|5.03472542626899|5.013398703963524|4.606995359008037|3.4076086869098097|3.0485103617517937|3.041849786879413|2.956610426058765|2.856045143941438|2.5082062076893314|1.9869028045359287|1.875528998631787|1.8343988574228691|1.6827515471154926|1.0671089315586404|1.0612262852296992|1.0272488269112927,5|15|19|9|1|21|17|23|14|12|20|0|39|27|41|28|26|18|2|16|3|22|10|36|40|24|8|31|13|37|4,20,FALSE,22,15|9|19|17|21|20|5|1|22|23|14|31|28|16|26|18|39|27|12|0|41|2|30|11|3|4|6|7|8|10|13|24|25|29|32|33|34|35|36|37|38|40,14,FALSE,6
17,factual,17,Google S2 Geometry â€” Executive & Technical Reference (Condensed).pdf,3|5|22|15|19|10|36|9|40|1|8|31|21|13|17|37|24|4|14|35|12|39|7|0|20|11|27|38|32|41|23|29|33|28|26|30|34|18|2|6|25|16,15,FALSE,0.639996008137183|0.6346945701676661|0.6253042912176835|0.622856337818859|0.618658136403146|0.6084432108120748|0.6080137199223116|0.6020876761585493|0.6012269069356954|0.5959936521398111|0.5912355407517106|0.5911739074856373|0.5887940868163386|0.5844836582800423|0.5764825859254269|0.5677640319470243|0.560760206962321|0.3033494930518696|0.23102256665029386|0.22570602967287054|0.22503847869390356|0.22366985642899734|0.22070914253819518|0.2105339738873336|0.20409169075820285|0.20160814129589386|0.15383858445210882|0.15058231677369743|0.14971164123122235|0.13074103581736515|0.12424055219925208|0.10343080484353401|0.10214003508187687|0.085253199311971|0.08449953591834992|0.08305035320038145|0.08273429037251817|0.08259639375955803|0.08239219160637548|0.07775108416103191|0.05629248866160162|0.055168552106491076,14|27|18|26|23|28|20|17|21|16|15|11|31|1|5|30|32|25|22|19|9|35|36,8,FALSE,11.158448196464152|8.622849803346178|8.594756256635902|8.5947562566359|7.753757347058657|7.278414771356736|7.16195419274613|6.229818134764287|5.950426031339029|5.071497528064723|5.03472542626899|4.165330156931955|3.4223627471765825|2.956610426058765|2.856045143941438|2.7660364406851947|1.9114236590479479|1.801110282551722|1.6827515471154926|1.3994761775043207|1.3626391084429845|1.2976429115734713|1.2155134018109486,5|22|15|19|1|31|21|17|14|20|11|27|32|23|28|26|30|18|25|16|3|10|36|9|40|8|13|37|24|4|35,8,FALSE,7,17|21|15|14|31|5|1|9|19|22|36|27|20|23|26|18|28|11|16|35|30|32|25|0|2|3|4|6|7|8|10|12|13|24|29|33|34|37|38|39|40|41,1,TRUE,7
18,mechanistic,18,Google S2 Geometry â€” Executive & Technical Reference (Condensed).pdf,36|22|19|15|3|9|5|13|10|37|1|21|8|40|31|24|17|4|23|14|27|29|7|12|20|41|32|39|38|35|34|33|11|0|26|18|30|28|2|6|25|16,36,FALSE,0.706697914660814|0.7011467741274674|0.7007020781794168|0.6942973508157047|0.6890513776728693|0.6889994574268841|0.682739914042866|0.6779774880628067|0.6773336692260414|0.6761217759640443|0.6749549915166646|0.666760688377857|0.6543178133169756|0.6541256052636035|0.6423988846428158|0.6358906482420149|0.6237631535756177|0.26773919937791624|0.22508712128368052|0.21829751242179649|0.20977827530065704|0.20730110186396383|0.20333947691355042|0.20130918436124115|0.20013116297452915|0.19348655966235345|0.19194964685304255|0.14493798214289522|0.14167164003992108|0.12259630179443866|0.11746477637055965|0.11360946452741262|0.10863437358077571|0.10627179216113611|0.09468477684608947|0.09324028984788905|0.09088088079701817|0.0894707294365077|0.08882729490481261|0.08660402052886268|0.06430379294929216|0.06110605405434884,18|17|15|23|26|25|14|11|16|28|21|5|27|22|7|2|20|0|41|33|12|4|1|35|40|38|36|31|29|19|3|30|8|13|32|9|34,1,TRUE,13.031322201706475|8.676969539766082|8.236964318757792|7.504885101588138|6.513188186605563|6.3162715820290565|6.256262344401808|6.192879233877038|5.680052478130888|5.25658555597169|5.0678360866874534|4.674016569399802|4.57372140633299|4.131017921756072|3.6135855412648543|3.6113187705000294|3.1546555147143582|3.1457710921150954|3.054628894041448|2.568942177411743|2.504981610919448|2.364031844021445|2.185542039351766|2.0937156091309324|2.0937156091309324|2.0303974278987305|1.9612016216337413|1.6822634699182344|1.4315743523505282|1.3994761775043207|1.3916752839426638|1.0612262852296992|1.001073846895495|0.9635000574513101|0.9397606462309283|0.716159722586901|0.6379923861383356,22|15|5|21|17|23|14|27|7|20|41|33|11|0|26|18|28|2|25|16|36|19|3|9|13|10|37|1|8|40|31|24|4,16,FALSE,20,15|17|21|5|22|36|1|19|3|31|40|9|13|18|8|23|14|27|11|26|4|20|7|16|25|28|41|12|29|2|0|32|38|33|35|30|34|6|10|24|37|39,14,FALSE,2
19,comparative,19,Google S2 Geometry â€” Executive & Technical Reference (Condensed).pdf,3|36|15|10|19|5|22|40|31|1|9|37|21|13|8|17|24|4|7|39|12|20|35|41|27|0|29|11|23|33|32|38|14|34|26|18|28|30|2|6|25|16,5,FALSE,0.6923396432533361|0.68431487427835|0.6785055632701927|0.6769911056916944|0.6748308881149319|0.6729885073590846|0.6648750213100438|0.6557527386159328|0.6507892609383897|0.6483091860502822|0.6415845477155002|0.6411817145250333|0.6376712684860479|0.6356559090364183|0.635160704512196|0.627864490306676|0.5997674571564401|0.2928744463231966|0.2206712153610515|0.21522111563084417|0.21483989415262106|0.2093917075444912|0.20563895287949155|0.19901513869918358|0.1965983916874093|0.19418620066419537|0.19229405525848872|0.18861813409710718|0.17746845793500685|0.173870830062769|0.14044941407241693|0.14008855252148694|0.1231362534193028|0.11791727761573026|0.0909880840006025|0.08986255610147946|0.08698049720997823|0.08677618663296649|0.08576331068459848|0.0817832087102354|0.0603508079512335|0.05881625975905389,19|39|21|1|14|28|22|20|5|8|23|29|40|18|16|33|15|6|13|0|9|12|34|36|7|26|2|4|27|3|32|11|38|30|31,1,TRUE,16.631946493334226|7.973038789575803|7.5855724535157005|6.987852393936979|6.533497861499192|5.971272331309141|5.795556342713955|5.611395616124694|3.9172509406569365|3.894359440127336|3.8520104762793412|3.4985539652710056|3.2816073840269615|3.2583213145880126|3.2304956773018025|3.1493893531809865|2.6691770696136357|2.654377961510693|2.5407462885549075|2.494138945178271|2.3547803770739|2.269805660120178|2.1377161913243734|1.5759034404237284|1.5324739151898081|1.4566311569865849|1.342352114291763|1.2839803805954333|1.2403942387498603|1.22574450292976|1.1851412219120825|1.1372569430112482|0.9702943549825354|0.7231765647161755|0.7000225004732477,15|19|5|22|40|1|21|13|8|39|20|0|29|23|33|14|18|28|6|16|3|36|10|31|9|37|17|24|4|7,2,TRUE,3,19|21|1|22|15|5|40|8|36|3|9|13|31|39|20|14|4|29|23|28|0|12|33|7|27|11|18|16|34|32|38|6|26|2|30|10|17|24|25|35|37|41,1,TRUE,1
